Date,DataSource,Steps,Calories,Distance(meters),ActiveTime(seconds)
2024-06-03,苹果健康,2141.0,48.0,1400.0,0.0
2024-06-04,苹果健康,2358.0,51.6,1510.0,0.0
2024-06-05,苹果健康,2052.0,48.6,1317.0,0.0
2024-06-06,苹果健康,7047.0,188.9,4692.0,0.0
2024-06-07,苹果健康,14375.0,357.3,9110.0,0.0
2024-06-08,苹果健康,14041.0,301.4,8514.0,0.0
2024-06-09,苹果健康,15052.0,322.8,8908.0,0.0
2024-06-10,苹果健康,26628.0,568.5,15367.0,0.0
2024-06-11,苹果健康,1341.0,32.8,931.0,0.0
2024-06-12,苹果健康,1932.0,44.1,1284.0,0.0
2024-06-13,苹果健康,7998.0,220.2,5512.0,0.0
2024-06-14,苹果健康,4765.0,113.6,3013.0,0.0
2024-06-15,苹果健康,7469.0,160.8,4603.0,0.0
2024-06-16,苹果健康,4403.0,94.4,2810.0,0.0
2024-06-17,苹果健康,2332.0,50.7,1478.0,0.0
2024-06-18,苹果健康,10338.0,236.5,6436.0,0.0
2024-06-19,苹果健康,1507.0,36.3,1029.0,0.0
2024-06-20,苹果健康,4742.0,122.9,3283.0,0.0
2024-06-21,苹果健康,8118.0,218.6,5493.0,0.0
2024-06-22,苹果健康,14398.0,436.0,10427.0,0.0
2024-06-23,苹果健康,3702.0,96.7,2532.0,0.0
2024-06-24,苹果健康,1495.0,36.2,956.0,0.0
2024-06-25,苹果健康,8028.0,189.2,5351.0,0.0
2024-06-26,苹果健康,2018.0,46.3,1304.0,0.0
2024-06-27,苹果健康,2433.0,62.0,1664.0,0.0
2024-06-28,苹果健康,2720.0,66.4,1796.0,0.0
2024-06-29,苹果健康,17367.0,600.6,11527.0,0.0
2024-06-30,苹果健康,7563.0,248.7,5163.0,0.0
2024-07-01,苹果健康,4628.0,289.3,3329.0,0.0
2024-07-02,苹果健康,10462.0,461.4,6854.0,0.0
2024-07-03,苹果健康,2576.0,112.8,1623.0,0.0
2024-07-04,苹果健康,8483.0,472.9,5458.0,0.0
2024-07-05,苹果健康,5543.0,405.5,3666.0,0.0
2024-07-06,苹果健康,8920.0,549.3,6019.0,0.0
2024-07-07,苹果健康,10621.0,561.5,6975.0,0.0
2024-07-08,苹果健康,18394.0,836.4,12621.0,0.0
2024-07-09,苹果健康,9253.0,725.6,6229.0,0.0
2024-07-10,苹果健康,4875.0,457.1,3328.0,0.0
